jobtitle,company,city,state,industry,skilltag,Hadoop,Spark,R,SAS,Stata,Java,Perl,Python,SQL,NoSQL,Tableau,Excel,Machine Learning,Amazon Web Service
ETL (Informatica) Developer,O'Reilly Auto Parts,Springfield,MO,10k+ people,"etl, design, informatica, microstrategy, informatica-powercenter",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Senior Software Engineer,Granular,Champaign,IL,51-200 people,"python, javascript, postgresql, django, c++",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Sr. Software Engineer |Big Data,Time Inc.,Tampa,FL,5k-10k people,"amazon-web-services, cloud, hadoop",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Senior Big Data Developer - Hadoop,American Family,Madison,WI,Private,"hadoop, apache-spark, r",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Backend Product Engineer, Python",TellusLabs,Somerville,MA,"Data & Analytics, Financial Technology, Geographic Information System","python, flask, restful-architecture, postgresql",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Software Developer (m/w) mit Herzblut fÌ_r Big Data,WidasConcepts,Wimsheim,Deutschland,51-200 people,"hadoop, nosql, apache-spark, apache-storm, elastic",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Software Architect | Big Data,Time Inc,Seattle,WA,5k-10k people,"aws, oozie, sqoop, kafka, hadoop",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Senior Software Engineer (Python),Entrepreneurial Finance Lab,Cambridge,MA,"Data Science, Fintech","python, django, mysql, node.js, mongodb",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Data Engineer, Data Warehouse",Komodo Health,San Francisco,CA,11-50 people,"java, hadoop, python, postgresql, scala",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Senior Java Developer (Remote),IdeaScale,Berkeley,CA,Innovation Software,"java, spring, tdd, machine-learning, angularjs",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
DevOps Manager - Global Enterprise Tax Solutions,PwC,Albany,NY,10k+ people,"devops, automation, linuxexperience",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Software Engineer, Data Platform",Cortico,Cambridge,MA,"Artificial Intelligence, Data Science, Media","python, aws, elasticsearch, hadoop, machine-learning",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Operations Developer,Hudson River Trading,New York,NY,51-200 people,"python, linux",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Senior Software Engineer,"Veritone, Inc.",Costa Mesa,CA,"Artificial Intelligence, Data Science, SaaS","node.js, angularjs, reactjs, go, postgresql",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Array of Things Systems Administrator,The University of Chicago,Chicago,IL,"Academic Research, Data Science","python, linux, amazon-web-services, sysadmin",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
C# language analysis research engineer,Semmle,Oxford,UK,11-50 people,"c#, .net, parsing, compiler-construction, static-analysis",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"Mid/Senior/Lead Scala Engineer - Scala, Spark, Hadoop",The Quantium Group,Sydney,Australia,"Big Data, Data & Analytics, Data Science","scala, hadoop, apache-spark, mapr, functional-programming",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Frontend Web Developer,Gigantum,Washington,DC,"Academic Research, Big Data, Data Science","reactjs, javascript, relay, webpack, sass",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Senior Ruby Engineer,Mitre Media Corp.,ON,Canada,11-50 people,"ruby, ruby-on-rails, html, css, javascript",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Full Stack Rails Developer,"Location, Inc",Worcester,MA,"Insurance, Location Based Services, Real Estate","ruby-on-rails, postgresql, amazon-web-services, javascript, html",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
iOS Developer,StreamDetroit,Ferndale,MI,"Content Marketing, Digital Marketing, SaaS","ios, swift, mobile",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
